player_name,age,minutes_played,field_goal_success,goal_success_3p,goal_success_2p,effective_field_goal,total_rebounds,assist,steal,blocking,points
Ron Baker,24,385,0.339,0.333,0.346,0.432,30,47,26,6,71
Rondae Hollis-Jefferson,23,1920,0.472,0.241,0.491,0.481,459,167,65,48,946
Royce O'Neale,24,1150,0.423,0.356,0.47,0.496,236,95,36,16,343
Rudy Gay,31,1231,0.471,0.314,0.516,0.506,291,73,46,38,655
Russell Westbrook,29,2914,0.449,0.298,0.485,0.477,804,820,147,20,2028
Ryan Anderson,29,1725,0.431,0.386,0.539,0.568,331,60,24,21,617
Ryan Arcidiacono,23,304,0.415,0.29,0.8,0.524,25,35,13,0,48
Salah Mejri,31,729,0.642,0,0.657,0.642,246,35,22,67,214
Sam Dekker,23,883,0.494,0.167,0.593,0.514,174,38,24,9,303
Sean Kilpatrick,28,256,0.3734,0.3366,0.4168,0.452,34.8,18.4,5.2,2,132
Semi Ojeleye,23,1150,0.346,0.32,0.397,0.452,161,20,21,4,195
Serge Ibaka,28,2093,0.483,0.36,0.559,0.552,478,62,29,99,959
Shabazz Muhammad,25,278.6666667,0.462333333,0.281666667,0.492,0.481666667,50.66666667,9.333333333,6,2,142.6666667
Shabazz Napier,26,1535,0.42,0.376,0.45,0.497,170,150,81,14,644
Shane Larkin,25,775,0.384,0.36,0.398,0.454,92,98,29,2,231
Shaquille Harrison,24,384,0.476,0.231,0.541,0.5,61,55,26,7,152
Shaun Livingston,32,1129,0.501,0,0.509,0.501,131,140,35,21,394
Shelvin Mack,27,1365,0.43,0.345,0.473,0.488,166,272,54,8,473
Sindarius Thornwell,23,1156,0.429,0.377,0.448,0.479,140,68,48,25,282
Skal Labissiere,21,1240,0.448,0.353,0.459,0.467,288,72,25,49,523
Solomon Hill,26,187,0.268,0.19,0.35,0.317,36,22,7,1,29
Spencer Dinwiddie,24,2306,0.387,0.326,0.452,0.471,259,524,68,23,1007
Stanley Johnson,21,1894,0.375,0.286,0.439,0.435,252,112,95,14,599
Stephen Curry,29,1631,0.495,0.423,0.595,0.618,261,310,80,8,1346
Sterling Brown,22,776,0.4,0.352,0.439,0.478,143,25,31,13,217
Steven Adams,24,2487,0.629,0,0.631,0.629,685,88,92,78,1056
T.J. Leaf,20,459,0.471,0.429,0.489,0.537,82,9,5,4,156
T.J. McConnell,25,1706,0.499,0.435,0.51,0.531,226,303,92,13,478
T.J. Warren,24,2142,0.498,0.222,0.523,0.507,333,85,65,41,1271
Taj Gibson,32,2726,0.577,0.2,0.595,0.581,584,99,62,59,999
Tarik Black,26,536,0.591,0.091,0.638,0.594,163,13,21,30,180
Taurean Waller-Prince,23,2464,0.426,0.385,0.461,0.516,389,214,85,42,1158
Terrance Ferguson,19,763,0.414,0.333,0.612,0.533,47,19,24,10,189
Terrence Ross,26,600,0.398,0.323,0.469,0.476,73,38,27,11,209
Terry Rozier,23,2068,0.395,0.381,0.41,0.491,376,232,80,19,900
Thabo Sefolosha,33,806,0.492,0.381,0.551,0.558,161,33,52,12,312
Thaddeus Young,29,2607,0.487,0.32,0.531,0.521,512,152,135,36,955
Thomas Bryant,20,72,0.381,0.1,0.636,0.405,17,6,1,2,22
Thon Maker,20,1238,0.411,0.298,0.467,0.46,225,46,38,53,356
Tim Frazier,27,838,0.395,0.304,0.44,0.445,115,194,47,7,176
Tim Hardaway,25,1885,0.421,0.317,0.516,0.496,224,155,62,10,996
Tim Quarterman,23,13,0.333,0,1,0.333,3,1,0,0,4
Timofey Mozgov,31,359,0.559,0.222,0.64,0.581,98,11,5,13,131
Timothe Luwawu-Cabarrot,22,807,0.375,0.335,0.431,0.474,72,54,12,5,299
Tobias Harris,25,1778.666667,0.461333333,0.411333333,0.489,0.535666667,291.3333333,128,47.33333333,23.33333333,990.6666667
Tomas Satoransky,26,1643,0.523,0.465,0.544,0.585,233,286,52,15,524
Tony Allen,36,273,0.484,0.333,0.506,0.505,47,9,11,3,103
Tony Bradley,20,29,0.273,0,0.3,0.273,11,1,0,0,8
Tony Parker,35,1071,0.459,0.27,0.479,0.472,95,195,28,1,421
Tony Snell,26,2053,0.435,0.403,0.49,0.562,141,98,47,28,516
Torrey Craig,27,629,0.453,0.293,0.57,0.515,127,25,12,15,163
Travis Wear,27,228,0.347,0.362,0.32,0.465,38,7,4,5,75
Treveon Graham,24,1050,0.434,0.412,0.452,0.525,121,59,33,2,273
Trevor Ariza,32,2269,0.412,0.368,0.519,0.542,294,105,98,13,782
Trevor Booker,30,579,0.51325,0.248,0.54325,0.5255,159,41,14,10.5,214
Trey Burke,25,785,0.503,0.362,0.556,0.552,71,170,24,4,461
Trey Lyles,22,1391,0.491,0.381,0.563,0.566,347,91,30,34,724
Troy Daniels,26,1622,0.403,0.4,0.419,0.563,127,48,26,5,703
Troy Williams,23,204.6666667,0.393333333,0.207333333,0.543333333,0.428333333,42,10.66666667,13.33333333,2.666666667,88.66666667
Tyler Cavanaugh,23,518,0.441,0.36,0.556,0.546,127,27,9,4,183
Tyler Dorsey,21,974,0.377,0.362,0.393,0.471,130,79,17,5,405
Tyler Ennis,23,683,0.42,0.25,0.476,0.451,95,105,30,10,224
Tyler Johnson,25,2052,0.435,0.367,0.491,0.518,248,165,60,34,843
Tyler Ulis,22,1658,0.388,0.288,0.425,0.426,128,311,70,7,554
Tyler Zeller,28,739.3333333,0.565333333,0.247333333,0.582333333,0.577666667,203.3333333,31.33333333,10,23.33333333,294
Tyreke Evans,28,1607,0.452,0.399,0.482,0.523,265,269,57,17,1010
Tyrone Wallace,23,851,0.445,0.25,0.483,0.466,105,71,27,13,291
Tyus Jones,21,1467,0.457,0.349,0.528,0.526,132,232,95,6,416
Udonis Haslem,37,72,0.2,0.125,0.286,0.233,10,5,0,2,8
Vander Blue,25,45,0.2,0,0.333,0.2,1,3,1,0,3
Victor Oladipo,25,2552,0.477,0.371,0.528,0.537,390,323,177,57,1735
